id	peixe	nutriente	tempo	fito
26	Z	N	8	200.8393285
27	Z	N	8	355.7154277
28	Z	N	8	283.7729816
29	Z	N	8	369.3045564
30	Z	N	8	350.1199041
1	C	0	9	10.49160671
2	C	0	9	13.18944844
3	C	0	9	16.98641087
4	C	0	9	31.47482014
5	C	0	9	41.42140833
6	O	0	9	57.55395683
7	O	0	9	91.92645883
8	O	0	9	53.95683453
9	O	0	9	15.58752998
10	O	0	9	77.93764988
11	Z	0	9	257.793765
12	Z	0	9	83.93285372
13	Z	0	9	152.8776978
14	Z	0	9	194.2446043
15	Z	0	9	253.7969624
16	C	N	9	41.96642686
17	C	N	9	41.96642686
18	C	N	9	37.17026379
19	C	N	9	34.77218225
20	C	N	9	38.36930456
21	O	N	9	44.36450839
22	O	N	9	32.37410072
23	O	N	9	16.78657074
24	O	N	9	134.8920863
25	O	N	9	198.3413269
26	Z	N	9	263.7889688
27	Z	N	9	200.8393285
28	Z	N	9	173.8609113
29	Z	N	9	451.4388489
30	Z	N	9	522.7817746
1	C	0	10	34.25830764
2	C	0	10	47.9616307
3	C	0	10	28.50590341
4	C	0	10	39.9397388
5	C	0	10	41.21378222
6	O	0	10	62.53319023
7	O	0	10	107.9136691
8	O	0	10	56.46881097
9	O	0	10	43.63517733
10	O	0	10	83.93285372
11	Z	0	10	567.5459632
12	Z	0	10	204.9027445
13	Z	0	10	295.7633893
14	Z	0	10	235.0119904
15	Z	0	10	347.7218225
16	C	N	10	83.93285372
17	C	N	10	206.5014655
18	C	N	10	95.41255884
19	C	N	10	105.6118069
20	C	N	10	113.8849062
21	O	N	10	269.7841727
22	O	N	10	140.0213163
23	O	N	10	59.19708678
24	O	N	10	143.8848921
25	O	N	10	243.804956
26	Z	N	10	659.4724221
27	Z	N	10	665.4676259
28	Z	N	10	179.8561151
29	Z	N	10	533.5731415
30	Z	N	10	695.4436451
1	C	0	11	17.98561151
2	C	0	11	52.86679747
3	C	0	11	40.02539595
4	C	0	11	48.40465745
5	C	0	11	41.88993303
6	O	0	11	67.51242363
7	O	0	11	80.117724
8	O	0	11	58.9807874
9	O	0	11	61.36116748
10	O	0	11	89.92805755
11	Z	0	11	305.7553957
12	Z	0	11	203.3443952
13	Z	0	11	222.0042148
14	Z	0	11	217.0263789
15	Z	0	11	252.1982414
16	C	N	11	125.8992806
17	C	N	11	199.1739941
18	C	N	11	153.6548539
19	C	N	11	176.4514314
20	C	N	11	189.4005078
21	O	N	11	251.7985612
22	O	N	11	163.3359979
23	O	N	11	101.6076028
24	O	N	11	83.93285372
25	O	N	11	195.7434053
26	Z	N	11	759.392486
27	Z	N	11	680.4556355
28	Z	N	11	263.7889688
29	Z	N	11	550.5595524
30	Z	N	11	779.3764988
1	C	0	12	30.30908606
2	C	0	12	57.77196425
3	C	0	12	49.22377887
4	C	0	12	52.32177894
5	C	0	12	54.81739011
6	O	0	12	35.97122302
7	O	0	12	52.32177894
8	O	0	12	70.09776794
9	O	0	12	72.78093609
10	O	0	12	54.35651479
11	Z	0	12	215.8273381
12	Z	0	12	183.1262263
13	Z	0	12	148.2450403
14	Z	0	12	199.0407674
15	Z	0	12	156.6746603
16	C	N	12	103.4172662
17	C	N	12	191.8465228
18	C	N	12	183.8529177
19	C	N	12	135.891287
20	C	N	12	238.0952381
21	O	N	12	233.8129496
22	O	N	12	214.2286171
23	O	N	12	191.8465228
24	O	N	12	57.55395683
25	O	N	12	147.6818545
26	Z	N	12	773.381295
27	Z	N	12	695.4436451
28	Z	N	12	347.7218225
29	Z	N	12	567.5459632
30	Z	N	12	863.3093525
1	C	0	13	42.63256062
2	C	0	13	92.92565947
3	C	0	13	58.23912299
4	C	0	13	59.95203837
5	C	0	13	227.8177458
6	O	0	13	269.7841727
7	O	0	13	135.891287
8	O	0	13	95.92326139
9	O	0	13	100.7194245
10	O	0	13	203.8369305
11	Z	0	13	359.7122302
12	Z	0	13	133.6073998
13	Z	0	13	175.8593125
14	Z	0	13	243.804956
15	Z	0	13	177.4580336
16	C	N	13	125.8992806
17	C	N	13	245.8033573
18	C	N	13	197.8417266
19	C	N	13	31.97442046
20	C	N	13	287.7697842
21	O	N	13	287.7697842
22	O	N	13	299.7601918
23	O	N	13	275.7793765
24	O	N	13	137.8896882
25	O	N	13	127.0983213
26	Z	N	13	845.323741
27	Z	N	13	767.3860911
28	Z	N	13	260.7913669
29	Z	N	13	407.6738609
30	Z	N	13	1031.17
1	C	0	14	11.35933359
2	C	0	14	13.18944844
3	C	0	14	22.78177458
4	C	0	14	19.413041
5	C	0	14	23.98081535
6	O	0	14	41.96642686
7	O	0	14	29.30988542
8	O	0	14	51.6509869
9	O	0	14	11.99040767
10	O	0	14	63.54916067
11	Z	0	14	134.2925659
12	Z	0	14	95.92326139
13	Z	0	14	103.117506
14	Z	0	14	159.4724221
15	Z	0	14	93.52517986
16	C	N	14	253.7969624
17	C	N	14	142.6858513
18	C	N	14	70.09776794
19	C	N	14	98.32134293
20	C	N	14	83.93285372
21	O	N	14	71.94244604
22	O	N	14	68.34532374
23	O	N	14	43.16546763
24	O	N	14	89.92805755
25	O	N	14	47.9616307
26	Z	N	14	577.0383693
27	Z	N	14	397.1822542
28	Z	N	14	219.4244604
29	Z	N	14	232.6139089
30	Z	N	14	287.7697842
1	C	0	15	124.7002398
2	C	0	15	46.76258993
3	C	0	15	67.14628297
4	C	0	15	43.16546763
5	C	0	15	181.7493374
6	O	0	15	87.52997602
7	O	0	15	126.7557383
8	O	0	15	119.9040767
9	O	0	15	54.62296829
10	O	0	15	143.8848921
11	Z	0	15	209.8321343
12	Z	0	15	151.8784972
13	Z	0	15	175.8593125
14	Z	0	15	213.8289369
15	Z	0	15	177.8577138
16	C	N	15	239.8081535
17	C	N	15	255.2243919
18	C	N	15	232.9564919
19	C	N	15	131.8944844
20	C	N	15	489.6083133
21	O	N	15	317.7458034
22	O	N	15	272.7817746
23	O	N	15	284.7721823
24	O	N	15	143.8848921
25	O	N	15	227.8177458
26	Z	N	15	944.2446043
27	Z	N	15	833.3333333
28	Z	N	15	597.5219824
29	Z	N	15	419.6642686
30	Z	N	15	1071.143086
1	C	0	16	117.2395417
2	C	0	16	44.36450839
3	C	0	16	502.2648548
4	C	0	16	59.95203837
5	C	0	16	307.753797
6	O	0	16	102.584599
7	O	0	16	269.7841727
8	O	0	16	146.2829736
9	O	0	16	118.5718092
10	O	0	16	339.7282174
11	Z	0	16	448.441247
12	Z	0	16	135.891287
13	Z	0	16	353.7170264
14	Z	0	16	321.7426059
15	Z	0	16	153.8768985
16	C	N	16	377.6978417
17	C	N	16	445.3579993
18	C	N	16	349.7202238
19	C	N	16	397.6818545
20	C	N	16	669.4644285
21	O	N	16	359.7122302
22	O	N	16	165.8673062
23	O	N	16	271.7825739
24	O	N	16	207.833733
25	O	N	16	283.7729816
26	Z	N	16	1280.97522
27	Z	N	16	887.2901679
28	Z	N	16	233.8129496
29	Z	N	16	953.2374101
30	Z	N	16	1650.772405
1	C	0	17	41.96642686
2	C	0	17	56.35491607
3	C	0	17	111.5107914
4	C	0	17	80.33573141
5	C	0	17	141.4868106
6	O	0	17	182.2541966
7	O	0	17	69.54436451
8	O	0	17	268.5851319
9	O	0	17	80.33573141
10	O	0	17	225.4196643
11	Z	0	17	179.8561151
12	Z	0	17	177.4580336
13	Z	0	17	170.263789
14	Z	0	17	115.1079137
15	Z	0	17	153.4772182
16	C	N	17	251.7985612
17	C	N	17	165.4676259
18	C	N	17	143.8848921
19	C	N	17	152.5179856
20	C	N	17	225.4196643
21	O	N	17	285.3717026
22	O	N	17	241.3069544
23	O	N	17	251.7985612
24	O	N	17	278.177458
25	O	N	17	100.7194245
26	Z	N	17	822.5419664
27	Z	N	17	568.3453237
28	Z	N	17	544.3645084
29	Z	N	17	350.1199041
30	Z	N	17	1033.573141
1	C	0	18	119.9040767
2	C	0	18	107.9136691
3	C	0	18	232.6139089
4	C	0	18	100.7194245
5	C	0	18	206.235012
6	O	0	18	175.059952
7	O	0	18	316.5467626
8	O	0	18	182.2541966
9	O	0	18	347.7218225
10	O	0	18	251.7985612
11	Z	0	18	432.1542766
12	Z	0	18	230.2158273
13	Z	0	18	510.7913669
14	Z	0	18	306.9544365
15	Z	0	18	158.2733813
16	C	N	18	246.7117215
17	C	N	18	392.4133421
18	C	N	18	182.2541966
19	C	N	18	165.4676259
20	C	N	18	366.9064748
21	O	N	18	240.2078337
22	O	N	18	173.8609113
23	O	N	18	261.3908873
24	O	N	18	223.0215827
25	O	N	18	184.6522782
26	Z	N	18	1316.546763
27	Z	N	18	676.2589928
28	Z	N	18	781.7745803
29	Z	N	18	366.9064748
30	Z	N	18	1472.422062
